step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
115,1.1500000000000001,9,0.0,0.8139538611564884,80.24009496360539,814.6980963243235,229.69382386341798,147.1451208003696,81.05404882476188,1191.5370409881111,0,8,822,1024,1024,1024,1,1
116,1.16,9,0.0,0.7577677910928957,69.2230836210832,829.3765277640131,230.66356380622915,140.689454364384,69.98085141217611,1200.729545934626,0,8,709,1024,1024,1024,1,1
117,1.17,9,0.0,0.48619724754245813,47.62516073682436,816.7656523768716,239.4619169145721,131.56267401970786,48.11135798436682,1187.7902433111515,0,5,488,1024,1024,1024,1,1
118,1.18,9,0.0,0.1731604070411101,18.498581036204722,777.619872771928,231.33311556869208,127.93037169168737,18.671741443245832,1136.8833600323076,0,2,189,1024,1024,1024,0,1
119,1.19,9,0.0,0.002422289059224517,0.3038126462057508,720.5716240750269,208.2856737518827,127.58493046778264,0.30623493526497536,1056.4422282946923,0,0,3,1024,1024,1024,0,1
120,1.2,9,0.0,0.2387066372464187,36.632077738889265,654.1406482618794,179.63167893645715,125.60081387486217,36.87078437613568,959.3731410731988,0,2,375,1024,1024,1024,1,1
121,1.21,9,0.0,0.39984919556276116,74.8565464314263,586.5907762753557,160.26981860454762,115.64683182968274,75.25639562698906,862.507426709586,0,4,767,1024,1024,1024,1,1
122,1.22,9,0.0,0.4946635561731975,113.19684620416406,515.131868756107,139.89131388969537,106.18418673426723,113.69150976033725,761.2073693800695,0,5,1024,1024,1024,1024,1,1
123,1.23,9,0.0,0.6015540448855116,163.92644799939418,449.72487437997125,122.1285462078463,99.2925662954333,164.5280020442797,671.1459868832509,0,6,1024,1024,1024,1017,1,1
124,1.24,9,0.0,0.6940835016163529,216.56133312330957,392.09791737678984,106.75471370795297,93.06045641868747,217.2554166249259,591.9130875034302,0,7,1024,1024,1024,953,1,1
125,1.25,7,0.0,0.740692268079113,254.16005088350215,342.9794229531406,93.74130387335474,85.89088770926391,254.90074315158125,522.6116145357593,0,8,1024,1024,960,880,1,1
126,1.26,7,0.0,0.8207503079575484,292.88206391855925,301.49184424554187,82.50990058805033,76.37330582507141,293.7028142265168,460.37505065866355,0,8,1024,1024,845,782,1,1
127,1.27,7,0.0,0.8891832136516334,323.97533223875433,274.9476541889384,74.85574865013997,69.55896109288776,324.86451545240595,419.3623639319661,0,9,1024,1024,767,712,1,1
128,1.28,7,0.0,0.9760516766157306,355.60467244789055,254.2855410256844,70.9498253093584,64.01336221829116,356.5807241245063,389.248728553334,0,10,1024,1024,727,655,1,1
129,1.29,5,0.0,1.1029593400581232,395.94793741164403,255.47513904158606,69.9110802835969,62.13871057799159,397.05089675170217,387.52492990317455,0,11,1024,1024,716,636,1,1
130,1.3,5,0.0,1.2562252753683278,440.45702505778087,240.03430880821296,65.06039230849235,60.95498332156789,441.7132503331492,366.04968443827323,0,13,1024,1024,666,624,1,1
131,1.31,4,0.0,1.4486829276865503,494.09405142709363,213.50012804511283,57.924381296761204,61.51658958386063,495.5427343547802,332.9410989257347,0,15,1024,1024,593,630,1,1
132,1.32,3,0.0,1.6627640206485768,553.1207954190227,179.81053495524856,48.894928338547516,64.73297493710363,554.7835594396712,293.4384382308997,0,17,1024,1024,501,663,1,1
133,1.33,3,0.0,2.1231426691804365,611.4321450991808,146.60997772004097,40.014639398245684,68.95012943648818,613.5552877683613,255.57474655477483,0,22,1024,1024,410,706,1,1
134,1.34,3,0.0,2.401106215456254,651.8521996552695,128.57612945558623,35.17110312915372,69.34772268495173,654.2533058707257,233.0949552696917,0,25,1024,1024,360,710,1,1
135,1.35,3,0.0,2.5466785640615592,681.9945364299158,123.95712127044023,33.88084360806733,64.77329356114143,684.5412149939774,222.611258439649,0,26,1024,1024,347,663,1,1
136,1.36,3,0.0,2.6849325778267983,718.4911106215822,118.77205238287237,32.44497251895131,60.60941625923566,721.1760431994089,211.82644116105934,0,27,1024,1024,332,621,1,1
137,1.37,1,0.0,2.714471041925721,731.840396923036,0.0,0.0,0.0,734.5548679649618,0.0,0,28,1024,0,0,0,1,0
138,1.3800000000000001,1,0.0,4.143725803785229,745.5408079535192,0.0,0.0,0.0,749.6845337573044,0.0,0,42,1024,0,0,0,1,0
139,1.3900000000000001,1,0.0,3.8122013975924904,713.1217847980055,0.0,0.0,0.0,716.933986195598,0.0,0,39,1024,0,0,0,1,0
140,1.4000000000000001,1,0.0,3.3281091795108773,655.6384784385014,0.0,0.0,0.0,658.9665876180122,0.0,0,34,1024,0,0,0,1,0
141,1.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
142,1.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
143,1.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
144,1.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
145,1.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
146,1.46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
147,1.47,1,0.0,0.0,0.0,0.0,1.0953331567940099,113.52243084432023,0.0,114.61776400111424,0,0,0,0,11,1024,0,1
148,1.48,1,0.0,0.0,0.0,0.0,1.0370343187252564,107.3210378779626,0.0,108.35807219668786,0,0,0,0,11,1024,0,1
149,1.49,1,0.0,0.0,0.0,0.0,0.9083505529848653,93.83978802821224,0.0,94.74813858119711,0,0,0,0,9,961,0,1
150,1.5,1,0.0,0.0,0.0,0.0,0.7343114973864424,75.69519201138266,0.0,76.4295035087691,0,0,0,0,8,775,0,1
